SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.15490122996645547;33.13608305156178
117122;GreyMatter;0.4975424257713129;37.69615364994153
117122;Hippocampus;0.19417668440706143;32.526911934581186
117122;Thalamus;0.2769249449272346;71.17583859709698
117122;WhiteMatter;0.11715716691664961;79.68688725254614
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0;inf
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.2876234435379991;72.42237223399962
117122-PP;WhiteMatter;0.0;inf
118528;Amygdala;0.13388350587628486;29.34280150224242
118528;GreyMatter;0.5026383134542671;35.510561809129406
118528;Hippocampus;0.1777340254161446;34.23448553724738
118528;Thalamus;0.24692364110504442;72.03471385380801
118528;WhiteMatter;0.11375264348250604;80.2122185206219
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0;inf
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.2483048778197254;73.01369734508724
118528-PP;WhiteMatter;0.0;inf
118730;Amygdala;0.15169837601696792;34.48187929913333
118730;GreyMatter;0.5095266391919255;36.24913792078372
118730;Hippocampus;0.16907853089148278;34.77067730142742
118730;Thalamus;0.2828176133845124;72.94518489934754
118730;WhiteMatter;0.10151159499589146;79.76214641043707
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.0;inf
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.2938097851654383;73.34166619323561
118730-PP;WhiteMatter;0.0;inf
118932;Amygdala;0.17988165680473372;33.436506994600975
118932;GreyMatter;0.5223583480554062;37.656340767525464
118932;Hippocampus;0.1953213604696088;32.2490309931942
118932;Thalamus;0.28348890930793735;71.48426400264607
118932;WhiteMatter;0.12030467737327746;79.23383115816122
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0;inf
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.2925389586722493;72.59476565152615
118932-PP;WhiteMatter;0.0;inf
120111;Amygdala;0.17020267867725494;32.155870381627054
120111;GreyMatter;0.49411363383053436;39.57271787481876
120111;Hippocampus;0.19824849615237342;32.66496594212215
120111;Thalamus;0.26389792006215324;73.34166619323561
120111;WhiteMatter;0.12971428766589577;78.63841300535
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0;inf
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.2735128844266495;73.824115301167
120111-PP;WhiteMatter;0.0;inf
122317;Amygdala;0.18972030373564314;32.63433774416144
122317;GreyMatter;0.5057970821427223;36.565010597564445
122317;Hippocampus;0.18676792207269458;31.54362059117501
122317;Thalamus;0.2570849854953053;74.10802925459562
122317;WhiteMatter;0.12142490879146024;79.92496481075234
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;inf
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.26853897410670363;74.9933330370107
122317-PP;WhiteMatter;0.0;inf
122620;Amygdala;0.16309555496406708;31.448370387032774
122620;GreyMatter;0.5113452091904264;33.06055050963308
122620;Hippocampus;0.16979340536326473;33.25657829663178
122620;Thalamus;0.2574190606475148;71.2460525222275
122620;WhiteMatter;0.10474479017686172;81.74961773610933
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0;inf
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.2636884459350327;71.8192174839019
122620-PP;WhiteMatter;0.0;inf
123117;Amygdala;0.1834290401968827;31.080540535840107
123117;GreyMatter;0.49926561711112133;38.62641583165593
123117;Hippocampus;0.19184802101049367;31.953090617340916
123117;Thalamus;0.26417730251810967;74.06753674856482
123117;WhiteMatter;0.12356646189943732;80.15609770940699
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;inf
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.27363019515640224;74.75961476626267
123117-PP;WhiteMatter;0.0;inf
123925;Amygdala;0.1963453959154425;30.083217912982647
123925;GreyMatter;0.4729724991248668;37.589892258425
123925;Hippocampus;0.21064873983947652;30.610455730027933
123925;Thalamus;0.27646987806350354;72.03471385380801
123925;WhiteMatter;0.12073111544841984;80.80222769206304
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;inf
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.2842997771326595;72.42927584892728
123925-PP;WhiteMatter;0.0;inf
124422;Amygdala;0.20150227457065276;32.63433774416144
124422;GreyMatter;0.4916647408472098;34.38022687534217
124422;Hippocampus;0.19178818470742195;32.264531609803356
124422;Thalamus;0.2828394210889042;74.06078584514209
124422;WhiteMatter;0.10589373075382294;80.83316151184488
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0;inf
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.2916273798298999;74.39085965358916
124422-PP;WhiteMatter;0.0;inf
